Product Title,SKU,Product Types,Product Categories,Edge Types,Usage,Capacity,Lid,Top Out A,Top Out B,Top In A,Top In B,Base A,Base B,Depth,Weight,Samples Available,Featured Image URL,Date Created,Last Modified
Rectangular Aluminium Foil Tray,S-220150-90,Smoothwall,Rectangular,Reversed Rolled Edge,"Air Fryer, BBQ, Premium",1920,,220,150,202,132,175,105,90,,,https://sai.lamcat.uk/wp-content/uploads/2025/07/S-220150-90.webp,08/07/2025 20:41,13/07/2025 16:50
Rectangular Foil Tray,S-220170-45,Smoothwall,Rectangular,Reversed Rolled Edge,"Air Fryer, BBQ, Premium",1254,,220,170,201,151,190,140,45,,,https://sai.lamcat.uk/wp-content/uploads/2025/07/S-220170-45.webp,08/07/2025 20:41,13/07/2025 16:44
Rectangular Foil Tray,S-221168-47,Smoothwall,Rectangular,Reversed Rolled Edge,"BBQ, Premium",1240,,221,168,199,146,186,134,47,,,https://sai.lamcat.uk/wp-content/uploads/2025/07/S-221168-47.webp,08/07/2025 20:41,13/07/2025 14:19
Rectangular Foil Tray,S-221168-76,Smoothwall,Rectangular,Reversed Rolled Edge,"BBQ, Premium",1857,,221,168,199,146,178,125,76,,,https://sai.lamcat.uk/wp-content/uploads/2025/07/S-221168-76.webp,08/07/2025 20:41,13/07/2025 14:20
Rectangular Foil Tray,S-234138-30,Smoothwall,Rectangular,Reversed Rolled Edge,"BBQ, Premium",725,,234,138,218,122,210,114,30,,,https://sai.lamcat.uk/wp-content/uploads/2025/07/S-234138-30.webp,08/07/2025 20:41,13/07/2025 14:23
Rectangular Foil Tray,S-234138-43,Smoothwall,Rectangular,Reversed Rolled Edge,"BBQ, Premium",1000,,234,138,218,121,204,107,43,,,https://sai.lamcat.uk/wp-content/uploads/2025/07/S-234138-43.webp,08/07/2025 20:41,13/07/2025 14:22
Rectangular Foil Tray,S-234138-50,Smoothwall,Rectangular,Reversed Rolled Edge,"BBQ, Premium",1150,,234,138,218,122,202,106,50,,,https://sai.lamcat.uk/wp-content/uploads/2025/07/S-234138-50.webp,08/07/2025 20:41,13/07/2025 14:21
Rectangular Foil Tray,S-236185-46,Smoothwall,Rectangular,Reversed Rolled Edge,"BBQ, Premium",1485,,236,185,218,167,202,151,46,,,https://sai.lamcat.uk/wp-content/uploads/2025/07/S-236185-46.webp,08/07/2025 20:41,13/07/2025 14:24
Rectangular Foil Tray,S-237182-35,Smoothwall,Rectangular,Reversed Rolled Edge,"BBQ, Premium",1165,,237,182,220,165,210,155,35,,,https://sai.lamcat.uk/wp-content/uploads/2025/07/S-237182-35.webp,08/07/2025 20:41,13/07/2025 14:27
Rectangular Foil Tray,S-239167-37,Smoothwall,Rectangular,Reversed Rolled Edge,"BBQ, Premium",1120,,239,167,220,148,210,138,37,,,https://sai.lamcat.uk/wp-content/uploads/2025/07/S-239167-37.jpg,08/07/2025 20:41,13/07/2025 14:28
Rectangular Foil Tray,S-239167-50,Smoothwall,Rectangular,Reversed Rolled Edge,"BBQ, Premium",1467,,239,167,220,148,207,135,50,,,https://sai.lamcat.uk/wp-content/uploads/2025/07/S-239167-50.webp,08/07/2025 20:41,13/07/2025 14:29
Rectangular Foil Tray,S-247197-45,Smoothwall,Rectangular,Reversed Rolled Edge,"BBQ, Premium",1525,,247,197,228,177,216,166,45,,,https://sai.lamcat.uk/wp-content/uploads/2025/07/S-247197-45.webp,08/07/2025 20:41,13/07/2025 14:30
Rectangular Foil Tray,S-260177-37,Smoothwall,Rectangular,Reversed Rolled Edge,"BBQ, Premium",1350,,260,177,243,160,233,150,37,,,https://sai.lamcat.uk/wp-content/uploads/2025/07/S-260177-37.avif,08/07/2025 20:41,13/07/2025 14:31
Rectangular Foil Tray,S-260177-50,Smoothwall,Rectangular,Reversed Rolled Edge,"BBQ, Premium",1771,,260,177,243,160,230,147,50,,,https://sai.lamcat.uk/wp-content/uploads/2025/07/S-260177-50.webp,08/07/2025 20:41,13/07/2025 14:34
Square Foil Tray,S-260260-50,Smoothwall,Square,Reversed Rolled Edge,"BBQ, Premium",2610,,260,260,241,241,225,225,50,,,https://sai.lamcat.uk/wp-content/uploads/2025/07/S-260260-50.jpg,08/07/2025 20:41,13/07/2025 14:33
Rectangular Aluminium Foil Tray,S-265162-37,Smoothwall,Rectangular,Reversed Rolled Edge,"BBQ, Premium",1200,,265,162,247,144,236,133,37,,,https://sai.lamcat.uk/wp-content/uploads/2025/07/S-265162-37.webp,08/07/2025 20:41,13/07/2025 13:58
Rectangular Aluminium Foil Tray,S-265162-47,Smoothwall,Rectangular,Reversed Rolled Edge,"BBQ, Premium",1500,,265,162,247,144,233,130,47,,,https://sai.lamcat.uk/wp-content/uploads/2025/07/S-265162-47.webp,08/07/2025 20:41,13/07/2025 13:56
Rectangular Aluminium Foil Tray,S-265162-58,Smoothwall,Rectangular,Reversed Rolled Edge,"BBQ, Premium",1800,,265,162,247,144,225,121,58,,,https://sai.lamcat.uk/wp-content/uploads/2025/07/S-265162-58.webp,08/07/2025 20:41,13/07/2025 13:50
Rectangular Aluminium Foil Tray,S-265162-75,Smoothwall,Rectangular,Reversed Rolled Edge,"BBQ, Premium",2300,,265,162,247,144,225,122,75,,,https://sai.lamcat.uk/wp-content/uploads/2025/07/S-265162-75.webp,08/07/2025 20:41,13/07/2025 13:59
Rectangular Foil Tray,S-270190-45,Smoothwall,Rectangular,Reversed Rolled Edge,"BBQ, Premium",1760,,270,190,254,174,242,162,45,,,https://sai.lamcat.uk/wp-content/uploads/2025/07/S-270190-45.webp,08/07/2025 20:41,13/07/2025 14:10
Rectangular Foil Tray,S-270190-55,Smoothwall,Rectangular,Reversed Rolled Edge,"BBQ, Premium",2141,,270,190,255,175,241,161,55,,,https://sai.lamcat.uk/wp-content/uploads/2025/07/S-270190-55.webp,08/07/2025 20:41,13/07/2025 13:47
Rectangular Foil Tray,S-270190-67,Smoothwall,Rectangular,Reversed Rolled Edge,"BBQ, Premium",2559,,270,190,255,175,240,160,67,,,https://sai.lamcat.uk/wp-content/uploads/2025/07/S-270190-67.webp,08/07/2025 20:41,13/07/2025 14:02
Round Non-Fluted Foil Flan Tray,S-276276-40,Smoothwall,Round,Reversed Rolled Edge,"BBQ, Premium",1946,,276,276,260,260,240,240,40,,,https://sai.lamcat.uk/wp-content/uploads/2025/07/S-276276-40-.webp,08/07/2025 20:41,13/07/2025 14:13
Rectangular Foil Tray,S-277184-20,Smoothwall,Rectangular,Reversed Rolled Edge,"BBQ, Premium",630,,277,184,251,158,244,151,20,,,https://sai.lamcat.uk/wp-content/uploads/2025/07/S-277184-20.webp,08/07/2025 20:41,13/07/2025 14:16
Rectangular Foil Tray,S-286225-45,Smoothwall,Rectangular,Reversed Rolled Edge,"BBQ, Premium",2035,,286,225,265,204,254,193,45,,,https://sai.lamcat.uk/wp-content/uploads/2025/07/S-286225-45.webp,08/07/2025 20:41,13/07/2025 13:53
Rectangular Foil Tray,S-293191-55,Smoothwall,Rectangular,Reversed Rolled Edge,"BBQ, Premium, Roaster",2110,,293,191,255,175,241,161,55,,,https://sai.lamcat.uk/wp-content/uploads/2025/07/S-293191-55.webp,08/07/2025 20:41,13/07/2025 13:55
Rectangular Aluminium Foil Tray,S-293193-45,Smoothwall,Rectangular,Reversed Rolled Edge,"BBQ, Premium, Roaster",1979,,293,193,279,179,265,165,45,,,https://sai.lamcat.uk/wp-content/uploads/2025/07/S-293193-45.webp,08/07/2025 20:41,13/07/2025 14:17
Rectangular Aluminium Foil Tray,S-293193-50,Smoothwall,Rectangular,Reversed Rolled Edge,"BBQ, Premium, Roaster",2200,,293,193,275,175,260,160,50,,,https://sai.lamcat.uk/wp-content/uploads/2025/07/S-293193-50.webp,08/07/2025 20:41,13/07/2025 13:51
Rectangular Aluminium Foil Tray,S-293193-90,Smoothwall,Rectangular,Reversed Rolled Edge,"BBQ, Premium, Roaster",4000,,293,193,279,179,250,156,90,,,https://sai.lamcat.uk/wp-content/uploads/2025/07/S-293193-90.webp,08/07/2025 20:41,13/07/2025 13:45
Rectangular Foil Tray,S-312244-60,Smoothwall,Rectangular,Reversed Rolled Edge,"BBQ, Premium, Roaster",3320,,312,244,288,220,262,194,60,,,https://sai.lamcat.uk/wp-content/uploads/2025/07/S-312244-60.jpg,08/07/2025 20:41,13/07/2025 13:46
Pie Foil Round,W-110-35,Wrinklewall,Round,Rolled Edge,Baking,,,110,110,100,100,77,77,35,,,https://sai.lamcat.uk/wp-content/uploads/2025/07/W-110-35.png,08/07/2025 20:41,08/07/2025 20:41
Pie Foil Oval,W-130-25,Wrinklewall,Oval,Rolled Edge,Baking,,,130,130,73,73,45,45,25,,,https://sai.lamcat.uk/wp-content/uploads/2025/07/W-130-25.png,08/07/2025 20:41,08/07/2025 20:41
1LB Rectangular,W-150120-46,Wrinklewall,Rectangular,Interrupted Vertical Curl,"No 1 Container, Takeaway",,Yes,150,120,130,110,105,83,46,,,https://sai.lamcat.uk/wp-content/uploads/2025/07/W-150120-46.png,08/07/2025 20:41,08/07/2025 20:41
"6.5"" Flan Round Lanced",W-165-36,Wrinklewall,Round,Rolled Edge,"Air Fryer, Baking",,,165,165,148,148,130,130,36,,,https://sai.lamcat.uk/wp-content/uploads/2025/07/W-165-36.png,08/07/2025 20:41,08/07/2025 20:41
"7"" Flan Round",W-182182-44,Wrinklewall,Round,Interrupted Vertical Curl,Baking,,Yes,182,182,164,164,140,140,44,,,https://sai.lamcat.uk/wp-content/uploads/2025/07/W-182182-44.png,08/07/2025 20:41,08/07/2025 20:41
1.5LB Rectangular Shallow,W-185138-48,Wrinklewall,Rectangular,Interrupted Vertical Curl,Baking,,Yes,185,138,168,120,147,100,48,,,https://sai.lamcat.uk/wp-content/uploads/2025/07/W-185138-48.png,08/07/2025 20:41,08/07/2025 20:41
"8"" Flan Round",W-212212-45,Wrinklewall,Round,Interrupted Vertical Curl,Baking,,Yes,212,212,195,195,175,175,45,,,https://sai.lamcat.uk/wp-content/uploads/2025/07/W-212212-45.png,08/07/2025 20:41,08/07/2025 20:41
1.5LB Rectangular Shallow,W-220158-40,Wrinklewall,Rectangular,Interrupted Vertical Curl,Baking,,Yes,220,158,201,140,185,126,40,,,https://sai.lamcat.uk/wp-content/uploads/2025/07/W-220158-40.png,08/07/2025 20:41,08/07/2025 20:41
2.25LB Rectangular,W-220158-51,Wrinklewall,Rectangular,Interrupted Vertical Curl,Baking,,Yes,220,158,201,140,182,116,51,,,https://sai.lamcat.uk/wp-content/uploads/2025/07/W-220158-51.png,08/07/2025 20:41,08/07/2025 20:41
3 - Compartment,W-220170-44,Wrinklewall,Rectangular,Interrupted Vertical Curl,Compartment,,Yes,220,170,205,150,180,130,44,,,https://sai.lamcat.uk/wp-content/uploads/2025/07/W-220170-44.png,08/07/2025 20:41,08/07/2025 20:41
"9"" Flan Round",W-233233-45,Wrinklewall,Round,Interrupted Vertical Curl,Baking,,Yes,233,233,210,210,192,192,45,,,https://sai.lamcat.uk/wp-content/uploads/2025/07/W-233233-45.png,08/07/2025 20:41,08/07/2025 20:41
5LB Rectangular,W-253186-78,Wrinklewall,Rectangular,Interrupted Vertical Curl,Baking,,Yes,253,186,233,168,210,138,78,,,https://sai.lamcat.uk/wp-content/uploads/2025/07/W-253186-78.png,08/07/2025 20:41,08/07/2025 20:41
Loaf Pan,W-315168-73,Wrinklewall,Rectangular,Rolled Edge,Baking,,,315,168,295,145,255,100,73,,,https://sai.lamcat.uk/wp-content/uploads/2025/07/W-315168-73.png,08/07/2025 20:41,08/07/2025 20:41
4LB Rectangular,W-315210-52,Wrinklewall,Rectangular,Interrupted Vertical Curl,Baking,,Yes,315,210,290,190,270,170,52,,,https://sai.lamcat.uk/wp-content/uploads/2025/07/W-315210-52.png,08/07/2025 20:41,08/07/2025 20:41
1/2 Size Gastro Shallow,W-325265-42,Wrinklewall,Rectangular,Rolled Edge,Gastronorm,,Yes,325,265,300,240,270,210,42,,,https://sai.lamcat.uk/wp-content/uploads/2025/07/W-325265-42.png,08/07/2025 20:41,08/07/2025 20:41
1/2 Size Gastro Medium,W-325265-51,Wrinklewall,Rectangular,Rolled Edge,Gastronorm,,Yes,325,265,300,240,270,210,51,,,https://sai.lamcat.uk/wp-content/uploads/2025/07/W-325265-51.png,08/07/2025 20:41,08/07/2025 20:41
Oval Roaster,W-452352-77,Wrinklewall,Oval,Rolled Edge,"BBQ, Roaster",,,452,352,410,320,345,265,77,,,https://sai.lamcat.uk/wp-content/uploads/2025/07/W-452352-77.png,08/07/2025 20:41,08/07/2025 20:41
Rectangle Roaster,W-455337-63,Wrinklewall,Rectangular,Rolled Edge,"BBQ, Roaster",,,455,337,422,300,382,265,63,,,https://sai.lamcat.uk/wp-content/uploads/2025/07/W-455337-63.png,08/07/2025 20:41,08/07/2025 20:41
Full Size Gastro Deep,W-525324-78,Wrinklewall,Rectangular,Rolled Edge,"BBQ, Gastronorm",,Yes,525,324,498,295,455,255,78,,,https://sai.lamcat.uk/wp-content/uploads/2025/07/W-525324-78.png,08/07/2025 20:41,08/07/2025 20:41
Full Size Gastro Medium,W-525328-50,Wrinklewall,Rectangular,Rolled Edge,"BBQ, Gastronorm",,Yes,525,328,500,300,470,270,50,,,https://sai.lamcat.uk/wp-content/uploads/2025/07/W-525328-50.png,08/07/2025 20:41,08/07/2025 20:41
Full Size Gastro Lid,W-535335-22,Wrinklewall,Rectangular,Rolled Edge,"BBQ, Gastronorm",,,535,335,,,52.5,32.5,22,,,https://sai.lamcat.uk/wp-content/uploads/2025/07/W-535335-22.png,08/07/2025 20:41,08/07/2025 20:41
