sku,capacity,depth,lid,additional,top_out_a,top_out_b,top_in_a,top_in_b,base_a,base_b,edge,category
1310spl,1120.0,37.0,,,239.0,167.0,220.0,148.0,210.0,138.0,Reversed Rolled Edge,Rectangular
381spl,1116.0,58.0,,,220.0,130.0,202.0,112.0,188.0,98.0,Reversed Rolled Edge,Rectangular
ds1100h,1100.0,55.0,,,245.0,150.0,202.0,132.0,180.0,110.0,,DeLight
117fpl,1000.0,41.0,No matching lid.,,231.0,231.0,212.0,212.0,196.0,196.0,Rolled Edge,Flans Fluted
2518pl,1000.0,49.0,No matching lid.,,185.0,185.0,174.0,174.0,148.0,148.0,Rolled Edge,Rounds
3288pl,990.0,38.0,,,223.0,172.0,213.0,162.0,193.0,142.0,Interrupted Vertical Curl,Compartmental
359spl,980.0,45.0,,,200.0,155.0,184.0,139.0,172.0,126.0,Reversed Rolled Edge,Rectangular
343spl,895.0,40.0,,,197.0,155.0,179.0,137.0,168.0,126.0,Reversed Rolled Edge,Rectangular
323spl,895.0,40.0,,,197.0,155.0,179.0,137.0,168.0,126.0,Reversed Rolled Edge,Rectangular
2302pl,890.0,39.0,No matching lid.,,192.0,192.0,178.0,178.0,167.0,167.0,Rolled Edge,Flans Non-Fluted
3321pl,875.0,35.0,No matching lid.,,273.0,121.0,260.0,108.0,144.0,91.0,Rolled Edge,Rectangular
549rpl,785.0,46.0,No matching lid.,,173.0,173.0,160.0,160.0,135.0,135.0,Vertical Flange,Rounds
2359pl,781.0,27.0,No matching lid.,,216.0,216.0,198.0,198.0,186.0,186.0,Rolled Edge,Flans Non-Fluted
3320pl,774.0,30.0,No matching lid.,,280.0,117.0,267.0,104.0,257.0,94.0,Rolled Edge,Rectangular
3319pl,772.0,23.0,No matching lid.,,244.0,168.0,229.0,152.0,215.0,138.0,Rolled Edge,Rectangular
3318pl,700.0,25.0,No matching lid.,,198.0,166.0,182.0,150.0,174.0,142.0,Rolled Edge,Rectangular
3411pl,688.0,50.0,No matching lid.,,197.0,105.0,184.0,92.0,162.0,70.0,Interrupted Vertical Curl,Rectangular
1305spl,685.0,31.0,,,208.0,157.0,190.0,139.0,182.0,131.0,Reversed Rolled Edge,Rectangular
3410pl,682.0,27.0,No matching lid.,,214.0,151.0,202.0,138.0,188.0,124.0,Interrupted Vertical Curl,Rectangular
215tpl,650.0,33.0,No matching lid.,,190.0,139.0,175.0,124.0,161.0,110.0,Rolled Edge,Rectangular
544rpl,650.0,37.0,No matching lid.,,174.0,174.0,159.0,159.0,140.0,140.0,Rolled Edge,Rounds
213tpl,650.0,35.0,No matching lid.,,183.0,133.0,173.0,123.0,162.0,112.0,Interrupted Vertical Curl,Rectangular
2070pl,650.0,23.0,No matching lid.,,229.0,229.0,210.0,210.0,170.0,170.0,Rolled Edge,Plates
340spl,573.0,50.0,,,150.0,125.0,132.0,107.0,119.0,94.0,Reversed Rolled Edge,Rectangular
ds570,570.0,43.0,,,165.0,132.0,153.0,120.0,127.0,94.0,,DeLight
ds570h,570.0,43.0,,,190.0,132.0,153.0,120.0,127.0,94.0,,DeLight
3314pl,568.0,50.0,No matching lid.,,167.0,105.0,154.0,92.0,132.0,70.0,Rolled Edge,Rectangular
2811pl,520.0,33.0,,,157.0,157.0,140.0,140.0,119.0,119.0,Interrupted Vertical Curl,Square
219tpl,515.0,32.0,No matching lid.,,171.0,130.0,158.0,117.0,145.0,104.0,Interrupted Vertical Curl,Rectangular
105fpl,505.0,27.0,No matching lid.,,165.0,165.0,156.0,156.0,147.0,147.0,Rolled Edge,Flans Non-Fluted
2354pl,465.0,30.0,No matching lid.,,163.0,163.0,146.0,146.0,135.0,135.0,Rolled Edge,Flans Non-Fluted
1361spl,463.0,43.0,No matching lid.,,145.0,145.0,125.0,125.0,110.0,110.0,Reversed Rolled Edge,Round
ds460,460.0,43.0,,,175.0,104.0,162.0,92.0,143.0,72.0,,DeLight
3233pl,460.0,32.0,No matching lid.,,165.0,123.0,150.0,108.0,136.0,94.0,Rolled Edge,Rectangular
2475plhe,420.0,29.0,,,154.0,154.0,140.0,140.0,131.0,131.0,Hemmed Edge,Rounds
1381spl,410.0,34.0,,,171.0,103.0,160.0,92.0,143.0,72.0,Reversed Rolled Edge,Rectangular
