sku,capacity,depth,lid,additional,top_out_a,top_out_b,top_in_a,top_in_b,base_a,base_b,edge,category
3211pl,500.0,38.0,No matching lid.,,133.0,102.0,114.0,83.0,95.0,64.0,Interrupted Vertical Curl,Rectangular
356spl,500.0,35.0,,,177.0,142.0,159.0,124.0,150.0,115.0,Reversed Rolled Edge,Oval
543rpl,500.0,43.0,No matching lid.,,140.0,140.0,122.0,122.0,110.0,110.0,Rolled Edge,Rounds
119fpl,500.0,28.0,No matching lid.,,166.0,166.0,156.0,156.0,134.0,134.0,Rolled Edge,Flans Fluted
3236pl,495.0,22.0,No matching lid.,,295.0,105.0,283.0,92.0,272.0,82.0,Rolled Edge,Rectangular
3309pl,495.0,22.0,No matching lid.,,210.0,178.0,185.0,153.0,151.0,119.0,Rolled Edge,Rectangular
207tpl,490.0,25.0,No matching lid.,,188.0,125.0,178.0,115.0,167.0,103.0,Rolled Edge,Rectangular
ds490,490.0,23.0,,,195.0,160.0,181.0,146.0,166.0,131.0,,DeLight
3237pl,487.0,18.0,No matching lid.,,290.0,131.0,277.0,118.0,261.0,102.0,Rolled Edge,Rectangular
3405pl,484.0,45.0,No matching lid.,,141.0,115.0,128.0,103.0,108.0,82.0,Interrupted Vertical Curl,Rectangular
2355pl,482.0,29.0,No matching lid.,,164.0,164.0,155.0,155.0,146.0,146.0,Rolled Edge,Flans Non-Fluted
3308pl,480.0,20.0,No matching lid.,,232.0,126.0,220.0,115.0,215.0,109.0,Rolled Edge,Rectangular
104fpl,480.0,27.0,No matching lid.,,165.0,165.0,152.0,152.0,145.0,145.0,Rolled Edge,Flans Non-Fluted
621ppl,471.0,28.0,No matching lid.,,178.0,178.0,162.0,162.0,130.0,130.0,Rolled Edge,Plates
3234pl,470.0,25.0,No matching lid.,,189.0,126.0,179.0,115.0,169.0,108.0,Rolled Edge,Rectangular
3406pl,568.0,50.0,No matching lid.,,171.0,105.0,154.0,92.0,132.0,70.0,Interrupted Vertical Curl,Rectangular
1302spl,557.0,39.0,,,167.0,125.0,149.0,107.0,138.0,96.0,Reversed Rolled Edge,Rectangular
321spl,556.0,32.0,,,178.0,136.0,164.0,122.0,153.0,111.0,Reversed Rolled Edge,Rectangular
3312pl,555.0,31.0,No matching lid.,,186.0,127.0,173.0,114.0,102.0,102.0,Rolled Edge,Rectangular
309spl,550.0,22.0,,,192.0,192.0,182.0,182.0,176.0,176.0,Reversed Rolled Edge,Round
114fpl,550.0,20.0,No matching lid.,,216.0,216.0,204.0,204.0,196.0,196.0,Rolled Edge,Flans Fluted
625ppl,550.0,25.0,No matching lid.,,203.0,203.0,182.0,182.0,155.0,155.0,Rolled Edge,Plates
320spl,550.0,50.0,,,150.0,125.0,132.0,107.0,119.0,94.0,Reversed Rolled Edge,Rectangular
2248plhe,530.0,31.0,No matching lid.,,174.0,174.0,155.0,155.0,130.0,130.0,Hemmed Edge,Flans Non-Fluted
3311pl,530.0,46.0,No matching lid.,,149.0,122.0,135.0,108.0,118.0,91.0,Rolled Edge,Rectangular
2245pl,525.0,35.0,No matching lid.,,166.0,166.0,147.0,147.0,133.0,133.0,Rolled Edge,Flans Non-Fluted
3232pl,525.0,33.0,,,188.0,124.0,175.0,112.0,155.0,93.0,Interrupted Vertical Curl,Rectangular
623ppl,524.0,20.0,No matching lid.,,203.0,203.0,180.0,180.0,146.0,146.0,Rolled Edge,Plates
111fpl,522.0,27.0,No matching lid.,,170.0,170.0,162.0,162.0,147.0,147.0,Rolled Edge,Flans Fluted
216tpl,520.0,32.0,No matching lid.,,186.0,125.0,172.0,111.0,158.0,100.0,Rolled Edge,Rectangular
3281pl,520.0,39.0,,,176.0,162.0,160.0,146.0,142.0,128.0,Interrupted Vertical Curl,Compartmental
209tpl,640.0,42.0,,,157.0,127.0,148.0,118.0,133.0,103.0,Interrupted Vertical Curl,Rectangular
361spl,630.0,20.0,,,277.0,184.0,251.0,158.0,244.0,151.0,Reversed Rolled Edge,Rectangular
3286pl,627.0,28.0,,,221.0,172.0,212.0,163.0,197.0,148.0,Interrupted Vertical Curl,Compartmental
3238pl,625.0,19.0,No matching lid.,,225.0,174.0,216.0,165.0,207.0,156.0,Rolled Edge,Rectangular
2243pl,620.0,25.0,No matching lid.,,191.0,191.0,177.0,177.0,164.0,164.0,Rolled Edge,Flans Fluted
2257pl,615.0,22.0,No matching lid.,,206.0,206.0,198.0,198.0,188.0,188.0,Rolled Edge,Flans Non-Fluted
2254pl,613.0,25.0,No matching lid.,,195.0,195.0,185.0,185.0,171.0,171.0,Rolled Edge,Flans Non-Fluted
1304spl,612.0,34.0,,,178.0,136.0,164.0,122.0,155.0,113.0,Reversed Rolled Edge,Rectangular
2356pl,600.0,15.0,No matching lid.,,251.0,251.0,240.0,240.0,224.0,224.0,Rolled Edge,Flans Non-Fluted
1303spl,600.0,45.0,,,160.0,123.0,144.0,107.0,131.0,94.0,Reversed Rolled Edge,Rectangular
107fpl,595.0,25.0,No matching lid.,,191.0,191.0,178.0,178.0,165.0,165.0,Rolled Edge,Flans Fluted
630ppl,592.0,30.0,No matching lid.,,202.0,202.0,179.0,179.0,137.0,137.0,Rolled Edge,Plates
212tpl,590.0,27.0,No matching lid.,,257.0,116.0,249.0,108.0,236.0,95.0,Rolled Edge,Rectangular
ds590,590.0,38.0,,,183.0,133.0,170.0,120.0,150.0,100.0,,DeLight
2106pl,585.0,20.0,No matching lid.,,208.0,208.0,194.0,194.0,182.0,182.0,Rolled Edge,Plates
3407pl,582.0,28.0,No matching lid.,,219.0,127.0,206.0,114.0,190.0,98.0,Interrupted Vertical Curl,Rectangular
3409pl,680.0,35.0,No matching lid.,,185.0,135.0,173.0,122.0,162.0,111.0,Interrupted Vertical Curl,Rectangular
3408pl,680.0,43.0,No matching lid.,,192.0,119.0,179.0,106.0,156.0,83.0,Interrupted Vertical Curl,Rectangular
ds680,680.0,33.0,,,231.0,133.0,219.0,122.0,198.0,102.0,,DeLight
3248pl,680.0,50.0,No matching lid.,,202.0,107.0,185.0,90.0,160.0,68.0,Rolled Edge,Rectangular
2662pl,674.0,45.0,No matching lid.,,214.0,157.0,184.0,127.0,133.0,78.0,Rolled Edge,Oblong
2551pl,672.0,23.0,No matching lid.,,211.0,211.0,198.0,198.0,187.0,187.0,Hemmed Edge,Rounds
2358pl,672.0,23.0,No matching lid.,,216.0,216.0,198.0,198.0,188.0,188.0,Rolled Edge,Flans Non-Fluted
3317pl,671.0,48.0,No matching lid.,,202.0,112.0,184.0,94.0,161.0,69.0,Rolled Edge,Rectangular
210tpl,670.0,48.0,,,195.0,105.0,185.0,95.0,163.0,72.0,Interrupted Vertical Curl,Rectangular
628ppl,670.0,23.0,No matching lid.,,223.0,223.0,206.0,206.0,167.0,167.0,Rolled Edge,Plates
2813pl,660.0,28.0,No matching lid.,,178.0,178.0,168.0,168.0,148.0,148.0,Rolled Edge,Square
2261plhe,660.0,36.0,,,183.0,183.0,171.0,171.0,143.0,143.0,Hemmed Edge,Flans Non-Fluted
2261pl,660.0,35.0,No matching lid.,,182.0,182.0,170.0,170.0,144.0,144.0,Rolled Edge,Flans Non-Fluted
371spl,650.0,50.0,,,198.0,108.0,182.0,92.0,166.0,76.0,Reversed Rolled Edge,Oval
3287pl,650.0,30.0,,,227.0,177.0,204.0,154.0,187.0,137.0,Interrupted Vertical Curl,Compartmental
3240pl,650.0,33.0,,,219.0,127.0,206.0,114.0,187.0,95.0,Interrupted Vertical Curl,Rectangular
2485plhe,771.0,43.0,,,176.0,176.0,157.0,157.0,144.0,144.0,Hemmed Edge,Rounds
2553pl,770.0,43.0,No matching lid.,,182.0,182.0,162.0,162.0,142.0,142.0,Hemmed Edge,Flans Non-Fluted
122fpl,750.0,29.0,No matching lid.,,195.0,195.0,185.0,185.0,179.0,179.0,Rolled Edge,Flans Non-Fluted
548rpl,750.0,45.0,No matching lid.,,174.0,174.0,160.0,160.0,135.0,135.0,Rolled Edge,Rounds
547rpl,750.0,46.0,No matching lid.,,174.0,174.0,159.0,159.0,135.0,135.0,Rolled Edge,Rounds
310spl,750.0,29.0,,,195.0,195.0,185.0,185.0,179.0,179.0,Reversed Rolled Edge,Round
214tpl,750.0,45.0,No matching lid.,,171.0,130.0,158.0,117.0,142.0,101.0,Interrupted Vertical Curl,Rectangular
322spl,730.0,45.0,,,178.0,136.0,166.0,122.0,150.0,115.0,Reversed Rolled Edge,Rectangular
217tpl,725.0,23.0,No matching lid.,,245.0,168.0,229.0,162.0,216.0,138.0,Rolled Edge,Rectangular
357spl,725.0,30.0,,,234.0,138.0,218.0,122.0,210.0,114.0,Reversed Rolled Edge,Rectangular
2552pl,722.0,40.0,No matching lid.,,178.0,178.0,163.0,163.0,140.0,140.0,Hemmed Edge,Flans Non-Fluted
3241pl,720.0,40.0,,,225.0,134.0,206.0,114.0,187.0,95.0,Interrupted Vertical Curl,Rectangular
2516pl,720.0,37.0,No matching lid.,,184.0,184.0,173.0,173.0,145.0,145.0,Rolled Edge,Rounds
312spl-0,715.0,43.0,,,174.0,174.0,154.0,154.0,136.0,136.0,Reversed Rolled Edge,Round
546rpl,710.0,38.0,No matching lid.,,185.0,185.0,165.0,165.0,140.0,140.0,Rolled Edge,Rounds
3227pl,700.0,50.0,No matching lid.,,147.0,122.0,128.0,103.0,108.0,83.0,Interrupted Vertical Curl,Rectangular
ds870,870.0,40.0,,,220.0,165.0,209.0,154.0,183.0,128.0,,DeLight
1306spl,870.0,39.0,,,183.0,171.0,166.0,154.0,152.0,140.0,Reversed Rolled Edge,Rectangular
3253pl,860.0,53.0,,,218.0,113.0,202.0,93.0,184.0,79.0,Interrupted Vertical Curl,Rectangular
3413pl,850.0,38.0,No matching lid.,,215.0,150.0,202.0,137.0,182.0,117.0,Interrupted Vertical Curl,Rectangular
ds850,850.0,45.0,,,178.0,165.0,164.0,153.0,139.0,127.0,,DeLight
550rpl,850.0,48.0,No matching lid.,,180.0,180.0,161.0,161.0,140.0,140.0,Rolled Edge,Rounds
327spl,828.0,48.0,,,179.0,139.0,162.0,122.0,152.0,112.0,Reversed Rolled Edge,Rectangular
2554pl,823.0,35.0,No matching lid.,,186.0,186.0,178.0,178.0,168.0,168.0,Hemmed Edge,Rounds
2272plhe,813.0,42.0,,,181.0,181.0,169.0,169.0,141.0,141.0,Hemmed Edge,Flans Non-Fluted
3412pl,801.0,40.0,No matching lid.,,219.0,127.0,206.0,114.0,187.0,95.0,Interrupted Vertical Curl,Rectangular
362spl,800.0,33.0,,,220.0,150.0,201.0,131.0,190.0,120.0,Reversed Rolled Edge,Rectangular
2258pl,800.0,23.0,No matching lid.,,212.0,212.0,198.0,198.0,187.0,187.0,Rolled Edge,Flans Non-Fluted
218tpl,800.0,31.0,No matching lid.,,199.0,167.0,186.0,154.0,174.0,142.0,Rolled Edge,Rectangular
ds800,800.0,42.0,,,213.0,146.0,199.0,132.0,176.0,109.0,,DeLight
346spl,800.0,34.0,,,220.0,150.0,202.0,121.0,181.0,121.0,Reversed Rolled Edge,Rectangular
3252pl,795.0,32.0,No matching lid.,,198.0,167.0,184.0,152.0,175.0,143.0,Rolled Edge,Rectangular
1307spl,980.0,50.0,,,188.0,147.0,172.0,131.0,157.0,116.0,Reversed Rolled Edge,Rectangular
1337spl,980.0,45.0,,,200.0,155.0,184.0,139.0,172.0,126.0,Reversed Rolled Edge,Rectangular
2074pl,965.0,28.0,No matching lid.,,248.0,248.0,230.0,230.0,189.0,189.0,Rolled Edge,Plates
2815pl,950.0,33.0,No matching lid.,,200.0,200.0,186.0,186.0,174.0,174.0,Rolled Edge,Square
2275pl,940.0,33.0,No matching lid.,,218.0,218.0,201.0,201.0,186.0,186.0,Rolled Edge,Flans Non-Fluted
3090plvf,932.0,72.0,,,158.0,158.0,145.0,145.0,106.0,106.0,Vertical Flange,Basins
3090pl,932.0,72.0,No matching lid.,,161.0,161.0,145.0,145.0,106.0,106.0,Rolled Edge,Basins
2361pl,931.0,22.0,No matching lid.,,251.0,251.0,237.0,237.0,229.0,229.0,Rolled Edge,Flans Non-Fluted
3255pl,925.0,38.0,No matching lid.,,218.0,155.0,202.0,138.0,182.0,118.0,Rolled Edge,Rectangular
3415pl,919.0,37.0,No matching lid.,,273.0,121.0,260.0,108.0,242.0,90.0,Interrupted Vertical Curl,Rectangular
2664pl,912.0,44.0,No matching lid.,,235.0,177.0,206.0,147.0,154.0,98.0,Rolled Edge,Oblong
3257pl,912.0,38.0,,,214.0,151.0,202.0,138.0,182.0,118.0,Interrupted Vertical Curl,Rectangular
2360pl,901.0,30.0,No matching lid.,,215.0,215.0,200.0,200.0,191.0,191.0,Rolled Edge,Flans Non-Fluted
3291pl,900.0,39.0,No matching lid.,,394.0,99.0,375.0,80.0,361.0,20.0,Rolled Edge,Special
3414pl,900.0,52.0,No matching lid.,,214.0,100.0,200.0,99.0,184.0,80.0,Interrupted Vertical Curl,Rectangular
3292pl,900.0,39.0,No matching lid.,,395.0,100.0,375.0,80.0,361.0,20.0,Rolled Edge,Special
220tpl,1100.0,30.0,No matching lid.,,273.0,177.0,260.0,165.0,250.0,155.0,Rolled Edge,Rectangular
2303pl,1098.0,32.0,No matching lid.,,235.0,235.0,216.0,216.0,208.0,208.0,Rolled Edge,Flans Non-Fluted
2363pl,1098.0,32.0,No matching lid.,,235.0,235.0,216.0,216.0,208.0,208.0,Rolled Edge,Flans Non-Fluted
2362pl,1080.0,23.0,No matching lid.,,277.0,277.0,260.0,260.0,249.0,249.0,Rolled Edge,Flans Non-Fluted
365splih,1060.0,45.0,,,220.0,150.0,202.0,132.0,188.0,118.0,Reversed Rolled Edge,Rectangular
365spl,1060.0,44.0,,,220.0,150.0,202.0,132.0,190.0,120.0,Reversed Rolled Edge,Rectangular
3262pl,1050.0,63.0,,,213.0,109.0,201.0,97.0,182.0,78.0,Interrupted Vertical Curl,Rectangular
3260pl,1050.0,46.0,,,213.0,150.0,201.0,138.0,176.0,113.0,Interrupted Vertical Curl,Rectangular
2555pl,1039.0,45.0,No matching lid.,,186.0,186.0,178.0,178.0,165.0,165.0,Hemmed Edge,Rounds
2107pl,1010.0,22.0,No matching lid.,,271.0,271.0,260.0,260.0,235.0,235.0,Rolled Edge,Plates
1346spl,1000.0,60.0,,,218.0,126.0,202.0,110.0,182.0,93.0,Reversed Rolled Edge,Oval
155fpl,1000.0,32.0,No matching lid.,,236.0,236.0,216.0,216.0,208.0,208.0,Rolled Edge,Flans Non-Fluted
126fpl,1000.0,30.0,No matching lid.,,278.0,278.0,260.0,260.0,250.0,250.0,Rolled Edge,Rounds
3416pl,1000.0,44.0,No matching lid.,,219.0,158.0,213.0,153.0,178.0,114.0,Interrupted Vertical Curl,Rectangular
345spl,1000.0,43.0,,,234.0,138.0,218.0,122.0,206.0,110.0,Reversed Rolled Edge,Rectangular
358spl,1000.0,43.0,,,234.0,138.0,218.0,121.0,204.0,107.0,Reversed Rolled Edge,Rectangular
1314spl,1254.0,45.0,,,220.0,170.0,201.0,151.0,190.0,140.0,Reversed Rolled Edge,Rectangular
3418pl,1248.0,41.0,,,229.0,178.0,214.0,164.0,187.0,137.0,Interrupted Vertical Curl,Rectangular
1313spl,1240.0,47.0,,,221.0,168.0,199.0,146.0,186.0,134.0,Reversed Rolled Edge,Rectangular
1391spl,1235.0,40.0,,,247.0,181.0,230.0,164.0,219.0,153.0,Reversed Rolled Edge,Chicken Trays
3324pl,1227.0,46.0,No matching lid.,,244.0,149.0,229.0,135.0,213.0,118.0,Rolled Edge,Rectangular
275tpl,1224.0,37.0,No matching lid.,,239.0,188.0,219.0,168.0,201.0,150.0,Rolled Edge,Rectangular
367spl,1200.0,37.0,,,265.0,162.0,247.0,144.0,236.0,133.0,Reversed Rolled Edge,Rectangular
377spl,1190.0,70.0,,,218.0,126.0,202.0,110.0,182.0,93.0,Reversed Rolled Edge,Oval
1390spl,1186.0,40.0,,,243.0,184.0,225.0,166.0,214.0,155.0,Reversed Rolled Edge,Chicken Trays
3417pl,1177.0,36.0,No matching lid.,,234.0,183.0,218.0,167.0,200.0,149.0,Interrupted Vertical Curl,Rectangular
1312spl,1165.0,35.0,,,237.0,182.0,220.0,165.0,210.0,155.0,Reversed Rolled Edge,Rectangular
560rpl,1165.0,36.0,No matching lid.,,219.0,219.0,208.0,208.0,196.0,196.0,Rolled Edge,Rounds
1311spl,1150.0,50.0,,,234.0,138.0,218.0,122.0,202.0,106.0,Reversed Rolled Edge,Rectangular
3322pl,1150.0,39.0,No matching lid.,,227.0,177.0,210.0,160.0,197.0,148.0,Rolled Edge,Rectangular
2668pl,1138.0,48.0,No matching lid.,,253.0,183.0,224.0,154.0,167.0,97.0,Rolled Edge,Oblong
349spl,1124.0,58.0,,,220.0,130.0,202.0,112.0,188.0,98.0,Reversed Rolled Edge,Rectangular
ds1580h,1580.0,54.0,,,287.0,163.0,249.0,149.0,180.0,110.0,,DeLight
ds1580,1580.0,54.0,,,262.0,163.0,249.0,149.0,180.0,110.0,,DeLight
1392spl,1550.0,45.0,,,270.0,190.0,253.0,173.0,240.0,160.0,Reversed Rolled Edge,Chicken Trays
1320spl,1525.0,45.0,,,247.0,197.0,228.0,177.0,216.0,166.0,Reversed Rolled Edge,Rectangular
369spl,1500.0,47.0,,,265.0,162.0,247.0,144.0,233.0,130.0,Reversed Rolled Edge,Rectangular
1319spl,1486.0,58.0,,,244.0,149.0,224.0,132.0,210.0,118.0,Reversed Rolled Edge,Rectangular
1318spl,1485.0,46.0,,,236.0,185.0,218.0,167.0,202.0,151.0,Reversed Rolled Edge,Rectangular
1317spl,1467.0,50.0,,,239.0,167.0,220.0,148.0,207.0,135.0,Reversed Rolled Edge,Rectangular
347spl,1450.0,47.0,,,265.0,162.0,247.0,144.0,234.0,131.0,Reversed Rolled Edge,Rectangular
2364pl,1386.0,42.0,No matching lid.,,232.0,232.0,213.0,213.0,197.0,197.0,Rolled Edge,Flans Non-Fluted
3419pl,1385.0,37.0,No matching lid.,,314.0,158.0,298.0,142.0,281.0,125.0,Interrupted Vertical Curl,Rectangular
364spl,1380.0,60.0,,,220.0,150.0,201.0,131.0,186.0,116.0,Reversed Rolled Edge,Rectangular
2283pl,1380.0,43.0,,,230.0,230.0,213.0,213.0,195.0,195.0,Hemmed Edge,Flans Non-Fluted
1316spl,1350.0,37.0,,,260.0,177.0,243.0,160.0,233.0,150.0,Reversed Rolled Edge,Rectangular
352spl-0,1320.0,70.0,,,220.0,130.0,202.0,112.0,190.0,100.0,Reversed Rolled Edge,Rectangular
383spl,1320.0,70.0,,,220.0,130.0,202.0,112.0,190.0,100.0,Reversed Rolled Edge,Rectangular
1362spl,1834.0,85.0,No matching lid.,,196.0,196.0,180.0,180.0,153.0,153.0,Reversed Rolled Edge,Round
3266pl,1812.0,45.0,,,315.0,158.0,299.0,142.0,281.0,124.0,Interrupted Vertical Curl,Rectangular
325spl,1800.0,44.0,,,277.0,215.0,258.0,196.0,243.0,180.0,Reversed Rolled Edge,Rectangular
382spl,1800.0,58.0,,,265.0,162.0,247.0,144.0,225.0,121.0,Reversed Rolled Edge,Rectangular
344spl,1771.0,50.0,,,260.0,177.0,243.0,160.0,230.0,147.0,Reversed Rolled Edge,Rectangular
324spl,1770.0,50.0,,,260.0,177.0,242.0,159.0,229.0,147.0,Reversed Rolled Edge,Rectangular
328spl,1760.0,45.0,,,270.0,190.0,254.0,174.0,242.0,162.0,Reversed Rolled Edge,Rectangular
3265pl,1740.0,31.0,No matching lid.,,322.0,202.0,305.0,185.0,295.0,174.0,Rolled Edge,Rectangular
280tpl,1710.0,44.0,,,322.0,177.0,300.0,154.0,277.0,130.0,Interrupted Vertical Curl,Rectangular
3421pl,1700.0,37.0,No matching lid.,,314.0,166.0,299.0,151.0,279.0,131.0,Interrupted Vertical Curl,Rectangular
326spl,1688.0,45.0,,,319.0,162.0,299.0,142.0,260.0,124.0,Reversed Rolled Edge,Rectangular
1393spl,1681.0,45.0,,,270.0,200.0,253.0,183.0,240.0,170.0,Reversed Rolled Edge,Chicken Trays
1336spl,1665.0,43.0,,,356.0,165.0,337.0,146.0,326.0,135.0,Reversed Rolled Edge,Smoothwall
2820pl,1650.0,36.0,,,238.0,238.0,225.0,225.0,210.0,210.0,Interrupted Vertical Curl,Square
2819pl,1650.0,36.0,,,238.0,238.0,225.0,225.0,210.0,210.0,Interrupted Vertical Curl,Square
2365pl,1615.0,47.0,No matching lid.,,223.0,223.0,213.0,213.0,197.0,197.0,Rolled Edge,Rounds
1395spl,2130.0,45.0,,,316.0,221.0,298.0,203.0,285.0,190.0,Reversed Rolled Edge,Chicken Trays
154fpl,2125.0,48.0,No matching lid.,,284.0,284.0,259.0,259.0,250.0,250.0,Rolled Edge,Flans Non-Fluted
2288pl,2120.0,40.0,No matching lid.,,288.0,288.0,270.0,270.0,250.0,250.0,Rolled Edge,Flans Non-Fluted
1326spl,2110.0,55.0,,,293.0,191.0,255.0,175.0,241.0,161.0,Reversed Rolled Edge,Rectangular
2286pl,2038.0,33.0,No matching lid.,,311.0,311.0,292.0,292.0,272.0,272.0,Rolled Edge,Flans Non-Fluted
1325spl,2035.0,45.0,,,286.0,225.0,265.0,204.0,254.0,193.0,Reversed Rolled Edge,Rectangular
235tpl,2000.0,73.0,No matching lid.,,258.0,155.0,244.0,141.0,206.0,103.0,Interrupted Vertical Curl,Rectangular
2580pl,2000.0,49.0,No matching lid.,,262.0,262.0,240.0,240.0,220.0,220.0,Rolled Edge,Rounds
